id,label,group,color,pub,text
1a92ee53-6acd-4e3b-9298-4edec07759eb,,service_offer,#ff6699,ptb,"Damen empfiehlt ſich Frau Ludm. Zorn⸗Machaček, Medic.⸗Doctorswitwe und gepr. Hebamme, 8275* Prag. Zeltnergaſſe Nr. 10 neu, 557— II. alt."
90eb0ab3-b54c-46a1-818b-a0fd91fda992,,service_offer,#ff6699,ptb,"Kunſtdüngeranalyſen übernimmt J. J. Weiß, beei deter Chemiker, Prag, Smečka gaſſe Nr. 7a. 357920"
hunſtdüngeranalyſen,Hunſtdüngeranalyſen,position,#66b3ff,,
f6468caf-bcb8-4842-ae6b-552a67174340,,service_offer,#ff6699,ptb,"Monogramme werden geſtickt von 5 kr. an, auch ganze Ausſtattungen w. z. Nähen aufgenommen. Anna Urban, Havličekſtraße 11 ebenerd. Weinb. 20 8871"
monogramme,Monogramme,position,#66b3ff,,
cd7a65b7-690c-4a03-b8b8-ccfe6194aa6c,,service_offer,#ff6699,ptb,"Damen ertheilt ſicheren Rath u. Hilfe gew. Barbara Tupá, gepr. Hebamme, Waſſergaſſe Nr. 728, gegenüber der Töchterſchule. Auf Wunſch Wohn. in. ganzer Verpfl. 2795*"
7651e57f-92fc-4fc0-8642-f0d02c97c3e5,,service_offer,#ff6699,ptb,"Gold⸗Reparaturen billigſt, gut bei 9696 Friedrich Steidler, Melantrichgaſſe 9"
5c1af1ef-4526-4add-999f-0cb024c80f50,,service_offer,#ff6699,ptb,"Hebamme Hlavatsch, Ziegeng. 15, neben Café Savoy, übernimmt auch Pflege. 36032"
8dac3d6d-6d14-45f7-9dac-84a41ea94a83,,service_offer,#ff6699,ptb,"Kunſtleriſche Weihnachtsarbeiten! Angeſ. mod. Handarbeitem etc 35895 Koenig-Sieburger, Franzensbad 20."
2e872398-0bcf-4128-b452-5e02be85b1d1,,service_offer,#ff6699,ptb,"Hebamme Thereſe Brendier, dipl. mit Auszeichn., mit lang jähr. beſthem. Praxis, wohnt Prag, 9423 Hopfenſtraße 11."
b066f00f-10a0-459a-bd4e-05b45c1b7da5,,service_offer,#ff6699,ptb,"Damen wollen ſich vertrauensvoll in allen Angelegengeiten an Anna Ludwig, dipl. Hebamme, Prag, Schul gaſſe Nr. 1 neu wenden. Auf Wunſch Wohnung und Verpfleg. Briefl. Anträge werden beantwortet. 7346"
994099f5-4237-4d5e-a7d7-9d72068f47df,,job_offer,#7fff7f,ptb,"Hoher Verdienst (K 10 bis K 20.— täglich) durch Bertrieb eines Senſations⸗Artikels. Für alle Fabriken, Werkſtätten, Reſtaurante ſowie f. jeden Haushalt unentbehrlich. Probeſendungen ge gen Einſendung von 90 Heller durch Chem. Laboratorium A. von Herrmann in Teplitz⸗Schönau. 29159"
c3bb4eff-6f0b-4de4-b784-62ead95a816f,,job_search,#ffcc66,ptb,"Eingeführter Vertreter in Glas, Porzellan und Küchengeräten. Böhmen bereiſend, sucht einschlägige Artikel zur Mitnahme. Antw. unt. Chiffre: „Proviſionsweiſe 3022—9“ an die Verwaltung dieſes Blattes. 4067"
a89c37b6-904f-4489-8c59-bf5ad3378a71,,job_offer,#7fff7f,ptb,"Bürokraft gesucht mit Buchhaltungskenntniſſen, bilanzfähig, Deutſch⸗Tſchechiſch perfekt, flott in Stenographie und Maſchinenſchreiben. Hand geſchriebene Anbote mit Zeugnisabſchriften und Anſprüchen unter „Verläßlich M. Z. 3022—9“ an die Verw. d. Bl. 4064"
3d72dc36-317f-4c0d-ac04-db4896163e94,,job_offer,#7fff7f,ptb,Akt. Ges. vergibt Generalvertretung für Böhmen für patent. Waschapparat an erfahrenen Organisator. Anbote mit Referenzen unt. Chittre: „Kč 145.— 9-320“ an die Verwaltung dieses Blattes. 15464
69f60b94-4110-42ec-b430-be8d1d13f458,,job_offer,#7fff7f,ptb,"Auslagen⸗Arrangeur (Textil), ſelbſtändige, ältere Kraft, wird auf genommen. Offerte erb: Pilſen, Poſtfach 245. 23534"
huslagenürrangeur,Huslagenürrangeur,position,#66b3ff,,
35c6d529-11b2-42c9-9726-b43834b5acb4,,job_offer,#7fff7f,ptb,"Erfahr. Fachmann aus der Welwarenbranche wird geſucht, der bei einer größeren Weberei die Wollwarenabteilung ſelbſtändig leiten kann. Kenntnis beider Landesſprachen erwünſcht. Ausführliche Offerte mit Gehaltsanſpr. unter „Neuheiten 9—321“ an die Verw. d. Bl. 15514"
iachmann,Iachmann,position,#66b3ff,,
a0e168d8-8f78-4b57-ac5f-9b13d55c66b1,,job_search,#ffcc66,ptb,"VERTRETER welcher bei der Kolonialwarenkundſchaft im Auſſiger Bezirk ſeit 10 Jahren beſtens eingeführt und beliebt iſt, ſucht zur Mit nahme noch einſchlägige Artikel. Angebote leiſtungsfähiger Unternehmen ſpez. Mühlen erwünſcht unter Chiffre: „Proviſion 100—9—321“ an die Verwaltung dieſes Blattes. 4039"
vertlreier,VERTLREIER,position,#66b3ff,,
9b3d1a67-7933-44bd-88eb-d85672b989a2,,job_search,#ffcc66,ptb,"Entsprechende Betätigung ſucht 38jähr., led. Beamter, mehrjähr. Auslandspraxis, gründl. Sprachkenntniſſe erfolgreiche Akquiſtionspraxis im Ausland, ausdauernd, erfahren; ev. als mittätiger Kompagnon in kl. Apport. Chiffre: „A. E. 3020—9“ an die Verw. d. Bl. 4016"
beamter,Beamter,position,#66b3ff,,
e43e0e6b-3c03-4d77-8317-0b2b92594dd9,,job_offer,#7fff7f,ptb,"Wir suchen zielbewußte Vertreter mit Privatkundenkreis zum Vertrieb der von uns erzeugten Quarzlampen. Tüchtige Verkäufer schreiben Offerte mit Angabe bisheriger Tätigkeit an Gebr. Klein, Elektro-Industrie. Jägerndorf, Tempelring Nr. 19. 23658"
verircier,Verircier,position,#66b3ff,,
2f0b3bf0-bd9b-448a-b69e-79792f49d03e,,job_search,#ffcc66,ptb,"Commis, 20 Jahre alt, der Eiſen⸗, Li queur⸗ und Gemiſchtwaaren⸗Br., flotter Detailliſt, böhm. ſprechend, mit I. Referenzen, bittet die Hrn. Chefs per 1. Septemder um einen Poſten. Gefl. Anträge an 5354 J. Svarc, Kohoutow bei Zdirec erbeten."
commis,Commis,position,#66b3ff,,
cfc14366-fad1-40b3-82ef-5c242b1aaea8,,job_search,#ffcc66,ptb,"Gebild. Fräulein, Beamtenswaiſe, geſetzten Alters, im Häuslichen und Kochen gut bewandert, beider Landesſprachen in Wort und Schrift mächtig, muſikaliſch, ſucht Stelle als Stütze der Frau, zu größeren Kindern, als Geſellſchafterin, Beſchließerin, Caſſierin ꝛc. Selbes ſieht mehr auf gute Behandlung als hohen Lohn. Eintreten könnte vom 1. September. Gefäll. Anträge unter »Waise 28« Prag Hauptpoſt reſt. erbeten. 5337"
stütze der fruu,Stütze der Fruu,position,#66b3ff,,
6c78b0c9-389d-49c7-9b1a-7947f797ca73,,job_offer,#7fff7f,ptb,"Tüchtiger 582820 Verkäufer (Auslagenarrangeur) wird in das Galanterie⸗ und Spielwaaren⸗Ge ſchäfte Jos. Bodendorfer's Erbe, Brünn, Gr. Plag 13, aufgenommen. Bewerber müſſen nur erſte Kräfte, der deutſchen und böhm. Sprache vollkommen mächtig ſein und ihre Offerten mit Angabe der Con feſſion, Gehaltsanſprüchen und Referenzen, ſowie Beiſchluß einer Photographie, an obige Firma ſenden."
verkäufer,Verkäufer,position,#66b3ff,,
auslagenarrangeur,Auslagenarrangeur,position,#66b3ff,,
ca444aab-a632-4c76-8dfd-89053f60b3fe,,job_offer,#7fff7f,ptb,Geſucht wird ein 3263 Fräulein welches vorzüglichen Farbenſinn hat und eine ſchöne Handſchrift beſitzt für eine Seidenweberei am Lande. Anfangshehalt 20 fl. per Monat. Zuſchriften unter Chiffre »R. K. Z. 3022-3« an die Adm. d. Bl.
beſitzt,beſitzt,position,#66b3ff,,
db562ca0-4216-4ab9-83d7-5128776f78a5,,job_offer,#7fff7f,ptb,"Ein tüchtiger 3200 Commis, der Galanterie⸗, Kurz⸗ und Wirk waarenbranche der bereits mit Erfolg gereiſt hat, wird zum ſo fortigen Eintritt aufzunehmen geſucht. Diejenigen, die die Carls bader Gegend bereiſten, erhalten den Vorzug. Gefl. Anträge an Eduard Porges, Carlsbad."
7fee5a98-77cd-448f-80dd-19a80c3f66f2,,job_offer,#7fff7f,ptb,Lederbranche. Ein Lehrknabe aus anſtändiger Familie mit genügender Schul bildung wird per ſofort in meinem Leder⸗ und techniſchen Waaren geſchäft aufzunehmen geſucht und hat derſelbe Gelegenheit die hieſige Handelsſchule zu beſuchen. Gefl. Anträge an Franz Joſef Pöſchl. Dux. 3196
lehrknabe,Lehrknabe,position,#66b3ff,,
bfd16c06-0ba0-4663-a566-04130105ca40,,job_offer,#7fff7f,ptb,"100—300 fl monatlich können Perſonen jeden Standes in allen Ortſchaften ſicher und ehrlich ohne Capital und Riſico verdienen, durch Verkauf geſetzlich erlaubter Staatspapiere und Looſe. Anträge unter »Leichter Ver- dienst« an Rudolf Moſſe, Wien 3198"
79ff56d2-c5d2-4846-b75a-a6481ad5f36f,,job_offer,#7fff7f,ptb,"Ein rüſtiger, wenn auch älterer Rechnungs⸗Beamte, verläßlich, wird zur Aushilfe in einem Privatbureau in Prag für October und November bei täglicher Frequenz von 8—2 Uhr geſucht. Off. mit Angabe der bis herigen Verwendung und etwaigen Referenzen übernimmt unter Ch. »B. K. 2957« das Annoncen Bur. Eduard Terſch, Prag, Ferdinandſtr. 38 u. 3215"
rüſliger,rüſliger,position,#66b3ff,,
f5a7ba66-d3a7-4d07-9b71-de79a99fa26c,,job_offer,#7fff7f,ptb,"Kammermädchen wird vom 1. September aufge nommen. Nur ſolche, die perfect im Kleidernähen und Zuſchneiden ſind, wollen ſich melden. Näheres Hotel „Erzherzog Stephan“ beim Portier 5275"
kammermädchen,Kammermädchen,position,#66b3ff,,
3effebd8-85ec-404f-a100-eb9b0cb1d975,,vermittlung,#fdbf6f,ptb,"Tüchtige Verkäuferin mit langjähr. Zeugn., aus der Damenmodewaarenbranche, Kath., mit ſymp. Exterieur empfiehlt Regina Kohn, Placirungsbur., Herrengaſſe 4, 1. St."
verkäuferin,Verkäuferin,position,#66b3ff,,
5d44428d-fe01-4d41-bd99-8f24791662a1,,vermittlung,#fdbf6f,ptb,"Tüchtige Erzieherinnen, Stundenlehrerinnen, Kinder gärtnerinnen, Franzöſinnen, Geſellſchafterinnen, Wirth ſchafterinnen und Bonnen empfiehlt und placirt beſtens Regina Kohn, Placirungsbur., Herrengaſſe 4, 1. Stock."
erzieherinnen,Erzieherinnen,position,#66b3ff,,
stundenlehrerinnen,Stundenlehrerinnen,position,#66b3ff,,
kinder gärtnerinnen,Kinder gärtnerinnen,position,#66b3ff,,
e9c37125-0d80-40f3-9609-fa55ecc74355,,vermittlung,#fdbf6f,ptb,"Routinirte Comptoiriſtinnen, deutſch, böhm., franz., Stenogr., verſirte Verkäuferinnen jeder Branche, Caſſierinnen, Buffet u. Credenzdamen empfiehlt u. placirt beſtens Regina Kohn, Placirungsbur., Herrengaſſe 4, 1. St."
verkäuferinnen,Verkäuferinnen,position,#66b3ff,,
credenzdamen,Credenzdamen,position,#66b3ff,,
6c5a2d69-d0af-48f0-a6dd-4aee9fdf099e,,vermittlung,#fdbf6f,ptb,"Verſirte Probirmamſelle, feſch, hübſch, chic, werden für gr. Confectionsfirma Prags ſofort aufgenommen. Regina Kohn, Placirungsbur., Herrengaſſe 4, 1. St."
452bf19d-70d7-4b92-a6ac-bca8f3b7de6b,,vermittlung,#fdbf6f,ptb,"Tüchtige Modiſtinnen⸗Mamſelles werden f. große Firmen ſofort geſucht. Regina Kohn, Placirungsbur., Herrengaſſe 4, 1. St."
90716583-001c-45c1-bb86-c52f1b5b4c0f,,vermittlung,#fdbf6f,ptb,"Hofmeiſter, Iſr., der in gleicher Eigenſchaft bereits mit Erfolg thätig war und den literäriſch., böhm., deutſch., hebräiſch., womögl. Clavierunter richt 3 Kindern von 7—11 J. zu ertheilen hätte, wird für feines Haus nächſt Prag ſofort aufge nommen. 3339 Regina Kohn, Placirungsbur., Herrengaſſe 4, 1. St."
39ae3601-3d80-43db-b0d1-c2f8ca3fa9af,,job_offer,#7fff7f,ptb,"Gewerbeſchüler, welcher nach Skizzen zeichnen kann, wird für eine Maſchinen fabrik am Lande zum ſofortigen Antritt geſucht. Kenntniß d. beid. Landesſprachen erforderlich. Off. unter Angabe der Anſprüche an die Admin. d. Bl. unter Chiffre »E. B. 2022-8«. 5266"
6187e94f-80fd-43a3-8dd6-b8ffb92bc4bf,,job_offer,#7fff7f,ptb,Abſchreibearbeit zu vergeben an beſonders ſchöne Handſchrift ins Haus. Antr. unter »B. K. 2022-8« a. die Adm. d. Bl. 5441
feb68401-486a-4ef3-a535-9b4f9338dfe1,,job_offer,#7fff7f,ptb,"Ein Fräulein, Iſrael., die in leichten häuslichen Arbeiten und im Nähen gut be wandert iſt, wird zu 2 größeren Kindern von 10 und 3 Jahren »P. H.« an das Annoncen⸗Bur. aufgenommen. Offerten unt. Ch. Eduard Tersch, Prag, Ferdi nandſtr. 38 n. 3356"
64a02195-33b7-4741-a222-7c33ed2d4f13,,service_offer,#ff6699,ptb,"Dienerſchaft jeder Kategorie beſorgt für Hrn. Chefs unentgeltlich J. Mach, Heinrichsgaſſe 13 neu. 5416"
700f67de-4d7f-4f6c-8997-a42cfd31f492,,job_offer,#7fff7f,ptb,Koch für Hotel wird ſofort aufgenommen „zur Fortuna“ 5414 Fiſchmarktgaſſe 678.
koch,Koch,position,#66b3ff,,
5fc2ab26-8270-4775-a580-85f8e5dcf8de,,job_offer,#7fff7f,ptb,"Junger, feſcher 5114 Zahlkellner wird ſoſort aufgenommen „zur Fortuna“, Fiſchmarktgaſſe 678."
zahltellner,Zahltellner,position,#66b3ff,,
c2ea9ba2-18c3-4b0d-8d39-5712d0e1bed0,,job_offer,#7fff7f,ptb,"Lehrmädchen wird aceeptirt im Pariſer Spitzen Magazin 5411 N. J. Kohn, Prag, Graben Nr. 3."
lehrmädchen,Lehrmädchen,position,#66b3ff,,
897defad-d193-4230-ab17-dbcfcddcecce,,vermittlung,#fdbf6f,ptb,"100 Köchinnen, Stubenmädchen, Kindermädchen, Mädchen zu aller Arbeit werden ſogleich aufgenommen auf großen Waněk, Wenzelsplatz „zur gold. Lohn nur bei der Frau Babette Gans“ im Hofe rechts, 2. Stock. 5275"
köchinnen,Köchinnen,position,#66b3ff,,
stubeumädchen,Stubeumädchen,position,#66b3ff,,
2737423e-1f68-440c-bcb4-c346a3259d1f,,job_offer,#7fff7f,ptb,"Geschäftsführer Chriſt, für ein Colonialw.⸗ und Weingeschäft, böhmiſch u. deutſch der im Stande iſt ein Geſchäft mit gutem Nutzen zu führer und Caution hat, wird bald aufge nommen. Antr. unt. Ch. »Prag 2022-8« an d. Adm. d. Bl. 5363"
2e5eeaa7-7e02-4878-91b3-f9668fe82d09,,vermittlung,#fdbf6f,ptb,Einen äußerſt tüchtigen und intelligenten 5349 Buchhalter empfiehlt die Stellenver mittlungs⸗Abtheilung des deutſchen Vereines. „Merkur“ in Prag.
byuchhalter,Byuchhalter,position,#66b3ff,,
09f443cb-d268-4ef1-a3c2-b8b7d1fc4edc,,job_offer,#7fff7f,ptb,In eine Landſtadt wird ein beſſeres Mädchen für häusliche Arbeiten gegen Monatslohn 10 fl. per 1. Sep tember geſucht. Wäſcherin im Hauſe. Off. unt. Ch. »R. 2022—3« an d. Adm. d. Bl. 5350
mällchen,Mällchen,position,#66b3ff,,
02581bda-8608-4093-86b3-0bb0a9a1e4f9,,job_offer,#7fff7f,ptb,Eine durchaus 5330 perfecte Schneiderin für Kindergarderobe wird geſugt fürs Haus. Off. unl. Ch. »N. 2622-8« an d. Adm. d. Bl.
säneilerin,Säneilerin,position,#66b3ff,,
f5ae888b-c42c-46e7-991e-31a7676b6a83,,job_search,#ffcc66,ptb,"Buchhalter und Correpondent, beider Landes ſprachen, Iſr., bilanztücht., mili tärfrei, Stenograph, gereiſ, ſucht Vertrauensſtelle event. Niederlage oder Betheiligung. Caution bis 5 Mille. Chiffre »Buchhaltung 2022-8« an d. Adm. d. Bl. 5331"
buchhalter,Buchhalter,position,#66b3ff,,
correpondent,Correpondent,position,#66b3ff,,
cf4a7cb9-ed37-49d1-9929-f959d5645f36,,job_offer,#7fff7f,ptb,"Praktikant wird aufgenommen bei St. Staffen, Weinberge, Rubeſchgaſſe Nr. 7. 1. Stock. 5332"
praktikant,Praktikant,position,#66b3ff,,
1d704e42-1a89-41d0-9d19-717f83ff687b,,job_offer,#7fff7f,ptb,"Mravného hocha z pořádné rodiny přijme do učení Max Beran, Praha, uhelný trh. 5306"
19ba8bff-ed78-4935-8889-db34144adb95,,job_offer,#7fff7f,ptb,"Ein verläßlicher 5240 jung. Comptoiriſt, der beider Landesſprachen voll kommen mächtig und gewandter Correſpondent iſt, findet baldige Aufnahme. Offerte nebſt Gehalts anſprüchen unter »Verlässlich und fleissing 2921—8« an die Adm. d. Bl. 5240"
3b98c577-30d6-4503-b3b1-9cbd25713240,,job_offer,#7fff7f,ptb,"Zwei brave Burſchen beider Landesſprachen möchtig, werden im Hotel de Saxe in Prag als Kellnerjungen in die Lehre aufgenommen. 5161"
kellnerjungen,Kellnerjungen,position,#66b3ff,,
19959aab-86df-46a1-82b2-b51619bdabe7,,job_search,#ffcc66,ptb,Als Stütze des Chefs od. dgl. ſucht ein abſolv. Gewerbeſchüler der chem. Abtheilung (Fär ber) Stellung. Geſl. Antr. unt. Ch. »A. G. 2021-3« an d. Adm. d. Bl. erbeten.
stütze,Stütze,position,#66b3ff,,
f7acd559-f366-49da-a79a-ce02b03fefa8,,job_search,#ffcc66,ptb,Tüchtige Erzieherin zum Unterricht im Literäriſchen u. Handarbeiten ſucht Stellung. Gefl. Off. erbt. unt. Ch. »Pädagogin 2022-8« an d. Admin. d.  Bl. 5408
erzielerin,Erzielerin,position,#66b3ff,,
84b310ec-8b23-4c39-b2f4-33b825bab13e,,job_offer,#7fff7f,ptb,"Praktikant für eine Droguerie⸗ und Chemi kalienhandlung Prag, der min deſtens 2 Gymnaſialclaſſen ab ſolvirie, wird aufgenommen. Off. unt. Ch. »P. T. 1354« an Ru dolf Moſſe, Prag, Graben Nr. 14. 3347"
47639bc9-0cbe-4425-aee9-43d73b1de6e7,,job_offer,#7fff7f,ptb,"Kautſchuk⸗Stampiglien Fabrik ſucht Vertreter gegen hohe Proviſion. Anträge an Julius Freund, Prag, Karolinenthal Nr. 240 5376"
ſucht,ſucht,position,#66b3ff,,
2c8c89e3-0c6c-47ad-8a6d-e9fe7d1c6050,,job_offer,#7fff7f,ptb,"Für ein Baumwoll⸗ und Futterwaaren⸗Engros⸗Ge ſchäft wird ein junger Mann, Chriſt, beider Landesſprachen mächtig, mit guten Referenzen, als Magazineur und Platzagent geſucht. Wer mit der Platzkundſchaft bekannt iſt, hat Vorzug. Antr. unt. Ch. »B.P. 2962« an d. Annonc.⸗Bur. Eduard Terſch, Prag, Fer dinandſtraße 38 u. 3357"
magazineur,Magazineur,position,#66b3ff,,
platagent,Platagent,position,#66b3ff,,
d3fd11af-a285-44e7-95de-5c41d24dd10b,,job_offer,#7fff7f,ptb,"Junger Commis Iſr., beider Landesſprachen m., für Detail und Agentiren im Specerei⸗ und Liqueurgeſchäft, wird aufgenommen. Offerte mit Salairanſpr. unter Chiffre »P. K. 1346« an Rudolf Moſſe, Prag, Graben 14. 3346"
3a9c7491-c68d-42c8-a793-f7f90c904414,,job_offer,#7fff7f,ptb,"Commis der deutſchen und böhmiſchen Sprache in Wort und Schrift mächtig, findet auf dem Comptoir eines landwirthſchaftl. Maſchinen Geſchäftes Anſtellung. Zeugniß Abſchrift nebſt Gehaltsanſpruch unter Chiffre »P. S. 1353« an Rudolf Moſſe Prag, Graben 14 3344"
aaa18118-0889-49ed-ba08-b0e31e4adad6,,job_search,#ffcc66,ptb,"Bahnbeamter, activ, im Tarif⸗ u. Reclamations fache erfahren, ſucht Beſchäftigung ab 3 Uhr Nachm. Gefl. Anträge unt. »Eisenbahn 3370« rest. Hauptpoſt Prag. 3388"
bahndveamter,Bahndveamter,position,#66b3ff,,
df7c921c-43aa-4f3e-98ad-8e1e92c67b41,,job_offer,#7fff7f,ptb,Ein tüchtiger 5452 Stenograph wird unter günſtigen Bedingungen aufgenommen. Offerte unter Ch. »Intelligenter Stenegraph 2018-8« an die d. Adm. d. Bl.
stenograph,Stenograph,position,#66b3ff,,
27fa02b7-ee8a-483c-a523-48401aad6c61,,job_search,#ffcc66,ptb,"Rout. Fachmann aus der Confection⸗, Tuch⸗ und Manufacturbranche, mit beſten Referenzen und gründlicher Orts kenntniß wünſcht in obiger oder ähnlicher Branche Vertretungen oder Reiſenderſtelle. Gefl. Antr. unt. Ch. »Rontinirt 2922-8« an die Adm. d. Bl. 5446"
fachmann,Fachmann,position,#66b3ff,,
0bb56636-851a-4148-b1ab-ce13481de680,,job_search,#ffcc66,ptb,Als Comptoiriſt eventuell Volontair ſucht ein junger Mann Stellung. Derſelde hat mit Vorzug matu rirt und heuer den einjährigen Curs an der Handelsakademie abſolvirt. Vorzüglicher Steno graph. Geneigte Anträge unter »R. S.« Hauptpoſt reſt. Prag erbeten. 5445
comptoiriſt,Comptoiriſt,position,#66b3ff,,
volontair,Volontair,position,#66b3ff,,
6e3d4001-6ded-4781-aa0a-68b552dcfbd0,,vermittlung,#fdbf6f,ptb,"Geprüfte Lehrerin (Iſr.), Norddeutſche, perfect im Sprechen, empf. Inſt. Neuſtadtl, Graben 7, geg. Spinka. 5451"
cb6de1bf-1c1a-48c4-8c9b-c23d5e8d6aab,,job_offer,#7fff7f,ptb,"Eine Erzieherin, geprüfte Lehrerin, wird geſucht zu einem 10jährigen Knaben. Be anſprucht wird gründl. Kenntniß der böhmiſchen, deutſchen und franzöſiſchen Sprache, eventuell auch Pianounterricht erwünſcht. Offerte mit Gehaltanſprüchen ſind zu richten an 5431 Kraus & Laſch, Prag."
erzieherin,Erzieherin,position,#66b3ff,,
lehrerin,Lehrerin,position,#66b3ff,,
90cdd14f-4c5c-404a-b17f-1c175ffa4d76,,job_offer,#7fff7f,ptb,"Fräulein, perfect böhmiſch und auch deutſch ſprechend, im Nähen gut bewan dert, gut zu Kindern, wird zu 2 Mädchen von 4 und 5 Jahren pr. 1. September engagirt. Perſönl. Vorſtellung im Geſchäftslocale A. Jeral, Galligaſſe 27, 15 Stock. Confeſſion Nebenſache. 5401"
cdf10d95-8c0c-4c9b-a05a-7e5571d3fdb3,,vermittlung,#fdbf6f,ptb,"Tücht. Stütze, perfect im Kochen, Kleider⸗ und Wäſchenähen, mit ſchönen Zeug niſſen, empfiehlt in beſſere Häuſer Inst. de placem. Skoch-Brich Graben 13. 5402"
bc477748-aa99-4a4b-bb7e-696a4c278236,,job_offer,#7fff7f,ptb,"Unterofficier der Train truppe, beider Landesſprachen in Wort und Schrift mächtig, wird für ein Geſchäft aufge nommen. Offerte mit Zeugniß abſchriſten unt. Chiffre »Unter officier« an Zeitungsverſchleiß Prag, Graben 33. 5433"
unterofficier,Unterofficier,position,#66b3ff,,
0e80be97-dda5-48f4-b549-db0254ac3819,,job_offer,#7fff7f,ptb,"Junger Mann aus der Liqueur⸗Branche wird als Agent für Prag und Umgebung geſucht. Solche, die ſchon einge führt ſind, werden bevorzugt und gut gezahlt. Offerte an die Adm. d. Bl. unter »H. L. 2022—3« 5405"
agent,Agent,position,#66b3ff,,
8906f004-3b88-4805-a493-78c0394358a2,,job_search,#ffcc66,ptb,"Comptoiriſt, tüchtiger Correſp., deutſch u. böh miſch und Stenograph, militärfr., ſucht per 1. September Stellung. Gefällige Antr. unter Chiffre »E. F. 2022-3« an d. Adm. d. Bl. 5397"
c299d59b-70c2-410c-9f4e-e9cf3d791f66,,job_offer,#7fff7f,ptb,"Commis, Iſr., der ſich mit guten Referenzen ausweiſen kann, findet ſofortige Aufnahme in einer Gemiſchtw. Handlang einer Bezirksſtadt Böh mens. Antr. an die Admin. d. Bl. unter Ch. »V. 2022—3.«"
8423a7dc-9c1e-4879-a389-b073fb5af30c,,job_offer,#7fff7f,ptb,"Ein Lehrknabe (Prager), aus guter chriſtl. Fa milie, beider Landesſpr. mächtig, wird gegen Zahlung aufgenommen bei 5383 W. Ließler, Papier⸗ und Galanteriewaaren Geſchäft, Prag, Eliſabethſtraße 4."
e71b901e-8149-4b04-b7b9-19b1944e7336,,job_search,#ffcc66,ptb,"Ein Commis, Material⸗ und Farbenbranche, n. der Auslehre, ſucht bald. Poſten. Gefl. Anträge unter Ch. »R. O. 2022-8« an die Admin. d. Bl. 5373"
d13c7d0b-5a32-4bb8-a45b-3de57444cf37,,job_offer,#7fff7f,ptb,"Ein Mädchen, Iſraelitin, beider Landesſprachen mächtig, das in einem Liqueur Geſchäft thätig war und ſich mit guten Zeugniſſen ausweiſen kann, wird bei freier Station u. gutem Gehalt für ein Liqueur⸗Geſchäft geſucht. Off. unter Ch. »Liquenr« an die Annoncen⸗Expedition G. Lüftschitz, Pilſen. 3316"
